title,authors,editors,tm,type,publisher,isbn,abstract,year,department,pdf_path,external_link,citation,keyword,status,restricted
"Collection, Conservation, and Utilization of Indigenous Vegetable",Workshop AVDRC,,P,Journal,Asian Vegetable Research and Development Center; Asian Development Bank,9290581189,,1999,Department Name,,,"Workshop AVDRC.(1999).Collection, Conservation, and Utilization of Indigenous Vegetable. Asian Vegetable Research and Development Center; Asian Development Bank.https://webopac.lgm.gov.my/bib/3198",,0,0
Biochemical and Nutritional Studies of Philippine Indigenous Foods and Forage Legumes,Emelyn Mae T. Mendoza,,NP,Journal,UPLB Institute of Plant Breeding,,"In recent years, worldwide attention has focused on tropical legumes as a possible major source of animal and human food (National Acad. of Sci., 1979; Kay, 1979; National Acad. of Sci., 1975). The publication ""Tropical Legumes: Resources for the Future"" very ably delineated the potentials and problems of these relatively underutilized plants. Although the protein contents of legume seeds are usually high, from 20 to 40%, and higher for a few types, their nutritive values are low due to the limiting sulfur amino acids, cysteine and methionine, and the presence of anti-nutritional factorsÑtrypsin inhibitors, hemagglutinins, flatulence factors, tannins and others. Other toxins may occur in the legumes once, and seeds of these legumes like cyanogenetic glucosides (Conn, 1970), saponins (Applebaum et al., 1970); alkaloids, nonprotein amino acids like mimosine in Leucaena leucocephala. However, these toxins may serve a protective role in the plant against pests and diseases (Applebaum et al., 1970; Hagedorn and Fraps, 1932; Reid and Weber, 1976; Nienstedt, 1953). Many tropical legumes described in the aforementioned books were observed/reported to be relatively resistant to pests and diseases. The role of the toxins in tropical legumes resistance to pests and diseases is not yet well established.",1989,Department Name,,https://www.locjkt.or.id/application/docliblcjkt/upload/Biochemical%20and%20Nutritional%20Studies%20of%20Philippine%20Indigenous%20Food%20and%20Forage%20Legumes.pdf,"Mendoza, E. M. (1990, November 30). Biochemical and nutritional qualities of several Philippine indigenous food legumes. Transactions of the National Academy of Science and Technology Philippines. https://www.herdin.ph/index.php?view=research&cid=38480",Tropical legumes; Underutilized crops; Human nutrition; Animal feed; Protein content; Sulfur amino acids,0,0
Field Guide to the Cultivated Plants of the Philippines: Vol.1. Commonly Cultivated species,"Gentallan, R. P., Bartolome, M. C. B., Timog, E. B. S., Cejalvo, R. D., Macabecha, C. G. A., Sienes, R. K. A., Endonela, L. E., Borromeo, T. H., Altoveros, N. C., Sister, L. E., & de Chavez, H. d. C.",,NP,Book,UPLB; SEARCA,e-ISBN: 978-971-560-312-6/ p-ISBN: 978-971-560-311-9,"This field guide will introduce the first 99 commonly cultivated plants in the Philippines. As a guiding principle, we have prioritized including crops that have a higher volume of production, and a wider area planted/harvested in the country.",2022,Department Name,,,"Gentallan, R. P., Bartolome, M. C. B., Timog, E. B. S., Cejalvo, R. D., Macabecha, C. G. A., Sienes, R. K. A., Endonela, L. E., Borromeo, T. H., Altoveros, N. C., Sister, L. E., & de Chavez, H. d. C. (2022). Field guide to the cultivated plants of the Philippines (Volume 1: Commonly cultivated species). Institute of Crop Science, College of Agriculture and Food Science, University of the Philippines Los Ba–os; Southeast Asian Regional Center for Graduate Study and Research in Agriculture (SEARCA). https://www.searca.org/pubs/books?pid=529
",Cultivated plants; volume of production,0,0
Nutritious Indigenous Vegetables and Wild Edible Fungi and their Food Products,"Tangonan, N.G. (Ed.)",,P,Book,"DA-BAR, USM",ISBN 978-971-0347-57-5,,2019,Department Name,,,"Tangonan, N. G. (Ed.). (2019). Nutritious indigenous vegetables and wild edible fungi and their food products. Department of Agriculture - Bureau of Agricultural Research (DA-BAR); University of Southern Mindanao.",,0,0
Pests and Diseases of Indigenous Vegetables and Wild Edible Fungi and Effects of Some Weather Factors,"Tangonan, N.G. (Ed.)",,P,Book,"DA-BAR, USM",,,2019,Department Name,,,"Tangonan, N.G. (Ed). (2019). Pests and diseases of Indogenous vegetables and wild edible fungi and effects of some weather factors. Department of Agriculture-Bureau of Agricultural Research (DA-BAR), Quezon City - University of Southern Mindanao, Kabacan, Cotabato, Philippines, 52 pp.",,0,0
Informal Seed Systems on Greater Yam (Discorea alata): Knowledge and Practices among Indigenous People in Northern Philippines,"Backian, G. S., Gayao, B. T., & Meldoz, D. T.",,NP,Journal,"Nothern Philippine Root rops Research and Training Center, Benguet State University",Print (ISSN: 2619-7855); Online (ISSN: 2651-7744),"Indigenous knowledge on variety, seed selection and seed-related practices is very important in the maintenance of greater yam diversity. However, baseline information on indigenous production, storage, or exchange of traditional greater yam varieties, and planting materials is very limited, especially among the indigenous people of the Northern Philippines. Hence, this documentation using secondary data, key informant interviews, field observation, and photo documentation to validate gathered information. Indigenous farmers‰Ûª technique on the utilization and management of cut setts that weigh from 200-500g, aerial tubers, and small to big tubers allowed for the multiplication and maintenance of indigenous varieties. At present, the round and elongated varieties with purple-colored-flesh color are utilized in commercial purple yam production. Thus, the need to strengthen research and development on local or traditional varieties conservation and capacity building with emphasis on production, storage, and distribution.",2020,Department Name,,https://www.ejournals.ph/function/reader1/read2/web/reader.php?id=uploads%2Farchive%2FMJSIR%2FVol.+80+No.+1+%282020%29%2FArticles%2Fart4.pdf&di=17233,"Backian, G. S., Gayao, B. T., & Meldoz, D. T. (2020). Informal seed systems on greater yam (Dioscorea alata): Knowledge and practices among indigenous people in Northern Philippines. Mountain Journal of Science and Interdisciplinary Research, 10(1), [page numbers if available]. Northern Philippine Root Crops Research and Training Center, Benguet State University. https://www.ejournals.ph/article.php?id=17233
",Seed Selection; Greater yam; Practices,0,0
Indigenous Vegetables of the Philippines Series (pamphlets):,"Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,"Indigenous Vegetable pamphlets developed by the research team from the Institute of Crop Science, College of Agriculture and Food Science, UPLB 
Indigenous vegetables are part of traditional Filipino food preparations. They are low-cost, nutritious, and prominent in home gardens and traditional farming systems. However, they are heavily underutilized despite their recognized importance. Some of the reasons include lack of planting materials; lack of information on use, benefits and production; the preferential emphasis on high-value vegetables; and the low preference of some consumers to indigenous vegetables. This initiative aims to address the lack of information materials on indigenous vegetables in the Philippines and raise the awareness of Filipinos on the benefits of the indigenous vegetables.",2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Indigenous vegetables; benefits; production,0,0
Vol. 01 Lagikway ( Abelmoschus manihot),"Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Lagikway,0,0
Vol. 02 Talbos ng Kamoteng Kahoy ( Manihot esculenta),"Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Talbos ng Kamoteng Kahoy,0,0
Vol. 03 Gabi ( Colocasia esculenta),"Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Gabi,0,0
Vol. 04 Bawang Gulay (Allium sativum),"Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Bawang Gulay,0,0
Vol. 05 Himbabao ( Broussonetia luzonica),"Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Himbabao,0,0
Vol. 06 Ampalaya ( Momordica charantia),"Crop Science, College of Agriculture and Food Science, UPLB",,P,Report,UPLB Institute of Crop Science,,,2023,Department Name,,,"UPLB Institute of Crop Science. (2023, October 13). Documentation of indigenous vegetables in the Philippines. PCAARRD. https://ispweb.pcaarrd.dost.gov.ph/documentation-of-indigenous-vegetables-in-the-philippines/",Ampalaya,0,0
